odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
1.2,50,0,0,0,0,0,1000,,,0
1.2,100,0,0,0,0,0,1000,,,0
1.2,150,0,0,0,0,0,1000,,,0
1.2,200,0,0,0,0,0,1000,,,0
1.2,250,0,0,0,0,0,1000,,,0
1.2,300,0,0,0,0,0,1000,,,0
1.2,350,0,0,0,0,0,1000,,,0
1.2,400,0,0,0,0,0,1000,,,0
1.3,50,5,5,0,0,1000,2370,,,0
1.3,100,2,2,0,0,1000,1540,,,0
1.3,150,0,0,0,0,0,1000,,,0
1.3,200,0,0,0,0,0,1000,,,0
1.3,250,0,0,0,0,0,1000,,,0
1.3,300,0,0,0,0,0,1000,,,0
1.3,350,0,0,0,0,0,1000,,,0
1.3,400,0,0,0,0,0,1000,,,0
1.4,50,9,8,1,1,333,1566,,,0
1.4,100,5,4,1,1,333,1173,,,0
1.4,150,1,1,0,0,1000,1320,,,0
1.4,200,1,1,0,0,1000,1320,,,0
1.4,250,0,0,0,0,0,1000,,,0
1.4,300,0,0,0,0,0,1000,,,0
1.4,350,0,0,0,0,0,1000,,,0
1.4,400,0,0,0,0,0,1000,,,0
1.5,50,19,14,5,1,333,1639,,,0
1.5,100,10,6,4,2,142,808,,,0
1.5,150,2,2,0,0,1000,1720,,,0
1.5,200,2,2,0,0,1000,1720,,,0
1.5,250,0,0,0,0,0,1000,,,0
1.5,300,0,0,0,0,0,1000,,,0
1.5,350,0,0,0,0,0,1000,,,0
1.5,400,0,0,0,0,0,1000,,,0
1.6,50,24,19,5,1,333,2535,,,0
1.6,100,14,10,4,2,142,1115,,,0
1.6,150,2,2,0,0,1000,1720,,,0
1.6,200,2,2,0,0,1000,1720,,,0
1.6,250,0,0,0,0,0,1000,,,0
1.6,300,0,0,0,0,0,1000,,,0
1.6,350,0,0,0,0,0,1000,,,0
1.6,400,0,0,0,0,0,1000,,,0
1.7,50,27,21,6,2,142,1674,,,0
1.7,100,16,11,5,2,142,1047,,,0
1.7,150,4,3,1,1,333,1246,,,0
1.7,200,2,2,0,0,1000,1720,,,0
1.7,250,0,0,0,0,0,1000,,,0
1.7,300,0,0,0,0,0,1000,,,0
1.7,350,0,0,0,0,0,1000,,,0
1.7,400,0,0,0,0,0,1000,,,0
1.8,50,32,25,7,2,142,2207,,,0
1.8,100,20,14,6,2,142,1388,,,0
1.8,150,5,4,1,1,333,1586,,,0
1.8,200,2,2,0,0,1000,1720,,,0
1.8,250,0,0,0,0,0,1000,,,0
1.8,300,0,0,0,0,0,1000,,,0
1.8,350,0,0,0,0,0,1000,,,0
1.8,400,0,0,0,0,0,1000,,,0
1.9,50,35,27,8,2,142,2243,,,0
1.9,100,21,15,6,2,142,1501,,,0
1.9,150,6,5,1,1,333,1852,,,0
1.9,200,2,2,0,0,1000,1720,,,0
1.9,250,0,0,0,0,0,1000,,,0
1.9,300,0,0,0,0,0,1000,,,0
1.9,350,0,0,0,0,0,1000,,,0
1.9,400,0,0,0,0,0,1000,,,0
2.0,50,43,33,10,2,142,3227,,,0
2.0,100,27,20,7,3,66,1412,,,0
2.0,150,6,5,1,1,333,1852,,,0
2.0,200,2,2,0,0,1000,1720,,,0
2.0,250,0,0,0,0,0,1000,,,0
2.0,300,0,0,0,0,0,1000,,,0
2.0,350,0,0,0,0,0,1000,,,0
2.0,400,0,0,0,0,0,1000,,,0
2.1,50,47,37,10,2,142,3857,,,0
2.1,100,29,22,7,3,66,1823,,,0
2.1,150,8,7,1,1,333,2632,,,0
2.1,200,3,3,0,0,1000,2720,,,0
2.1,250,0,0,0,0,0,1000,,,0
2.1,300,0,0,0,0,0,1000,,,0
2.1,350,0,0,0,0,0,1000,,,0
2.1,400,0,0,0,0,0,1000,,,0
2.2,50,51,38,13,2,142,3769,,,0
2.2,100,31,23,8,3,66,1988,,,0
2.2,150,9,8,1,1,333,2998,,,0
2.2,200,3,3,0,0,1000,2720,,,0
2.2,250,0,0,0,0,0,1000,,,0
2.2,300,0,0,0,0,0,1000,,,0
2.2,350,0,0,0,0,0,1000,,,0
2.2,400,0,0,0,0,0,1000,,,0
2.3,50,53,38,15,2,142,3704,,,0
2.3,100,33,23,10,4,32,1464,,,0
2.3,150,9,8,1,1,333,2998,,,0
2.3,200,3,3,0,0,1000,2720,,,0
2.3,250,0,0,0,0,0,1000,,,0
2.3,300,0,0,0,0,0,1000,,,0
2.3,350,0,0,0,0,0,1000,,,0
2.3,400,0,0,0,0,0,1000,,,0
2.4,50,53,38,15,2,142,3704,,,0
2.4,100,33,23,10,4,32,1464,,,0
2.4,150,9,8,1,1,333,2998,,,0
2.4,200,3,3,0,0,1000,2720,,,0
2.4,250,0,0,0,0,0,1000,,,0
2.4,300,0,0,0,0,0,1000,,,0
2.4,350,0,0,0,0,0,1000,,,0
2.4,400,0,0,0,0,0,1000,,,0
2.5,50,54,39,15,2,142,3999,,,0
2.5,100,34,24,10,4,32,1531,,,0
2.5,150,9,8,1,1,333,2998,,,0
2.5,200,3,3,0,0,1000,2720,,,0
2.5,250,0,0,0,0,0,1000,,,0
2.5,300,0,0,0,0,0,1000,,,0
2.5,350,0,0,0,0,0,1000,,,0
2.5,400,0,0,0,0,0,1000,,,0
2.6,50,55,40,15,2,142,4212,,,0
2.6,100,34,24,10,4,32,1531,,,0
2.6,150,9,8,1,1,333,2998,,,0
2.6,200,3,3,0,0,1000,2720,,,0
2.6,250,0,0,0,0,0,1000,,,0
2.6,300,0,0,0,0,0,1000,,,0
2.6,350,0,0,0,0,0,1000,,,0
2.6,400,0,0,0,0,0,1000,,,0
2.7,50,57,42,15,2,142,4666,,,0
2.7,100,35,25,10,4,32,1582,,,0
2.7,150,9,8,1,1,333,2998,,,0
2.7,200,3,3,0,0,1000,2720,,,0
2.7,250,0,0,0,0,0,1000,,,0
2.7,300,0,0,0,0,0,1000,,,0
2.7,350,0,0,0,0,0,1000,,,0
2.7,400,0,0,0,0,0,1000,,,0
2.8,50,58,42,16,2,142,4631,,,0
2.8,100,35,25,10,4,32,1582,,,0
2.8,150,9,8,1,1,333,2998,,,0
2.8,200,3,3,0,0,1000,2720,,,0
2.8,250,0,0,0,0,0,1000,,,0
2.8,300,0,0,0,0,0,1000,,,0
2.8,350,0,0,0,0,0,1000,,,0
2.8,400,0,0,0,0,0,1000,,,0
2.9,50,60,43,17,2,142,4894,,,0
2.9,100,35,25,10,4,32,1582,,,0
2.9,150,9,8,1,1,333,2998,,,0
2.9,200,3,3,0,0,1000,2720,,,0
2.9,250,0,0,0,0,0,1000,,,0
2.9,300,0,0,0,0,0,1000,,,0
2.9,350,0,0,0,0,0,1000,,,0
2.9,400,0,0,0,0,0,1000,,,0
3.0,50,61,43,18,2,142,4811,,,0
3.0,100,36,25,11,4,32,1579,,,0
3.0,150,9,8,1,1,333,2998,,,0
3.0,200,3,3,0,0,1000,2720,,,0
3.0,250,0,0,0,0,0,1000,,,0
3.0,300,0,0,0,0,0,1000,,,0
3.0,350,0,0,0,0,0,1000,,,0
3.0,400,0,0,0,0,0,1000,,,0
3.1,50,61,43,18,2,142,4811,,,0
3.1,100,36,25,11,4,32,1579,,,0
3.1,150,9,8,1,1,333,2998,,,0
3.1,200,3,3,0,0,1000,2720,,,0
3.1,250,0,0,0,0,0,1000,,,0
3.1,300,0,0,0,0,0,1000,,,0
3.1,350,0,0,0,0,0,1000,,,0
3.1,400,0,0,0,0,0,1000,,,0
3.2,50,62,43,19,2,142,4655,,,0
3.2,100,36,25,11,4,32,1579,,,0
3.2,150,9,8,1,1,333,2998,,,0
3.2,200,3,3,0,0,1000,2720,,,0
3.2,250,0,0,0,0,0,1000,,,0
3.2,300,0,0,0,0,0,1000,,,0
3.2,350,0,0,0,0,0,1000,,,0
3.2,400,0,0,0,0,0,1000,,,0
3.3,50,62,43,19,2,142,4655,,,0
3.3,100,36,25,11,4,32,1579,,,0
3.3,150,9,8,1,1,333,2998,,,0
3.3,200,3,3,0,0,1000,2720,,,0
3.3,250,0,0,0,0,0,1000,,,0
3.3,300,0,0,0,0,0,1000,,,0
3.3,350,0,0,0,0,0,1000,,,0
3.3,400,0,0,0,0,0,1000,,,0
3.4,50,62,43,19,2,142,4655,,,0
3.4,100,36,25,11,4,32,1579,,,0
3.4,150,9,8,1,1,333,2998,,,0
3.4,200,3,3,0,0,1000,2720,,,0
3.4,250,0,0,0,0,0,1000,,,0
3.4,300,0,0,0,0,0,1000,,,0
3.4,350,0,0,0,0,0,1000,,,0
3.4,400,0,0,0,0,0,1000,,,0
3.5,50,62,43,19,2,142,4655,,,0
3.5,100,36,25,11,4,32,1579,,,0
3.5,150,9,8,1,1,333,2998,,,0
3.5,200,3,3,0,0,1000,2720,,,0
3.5,250,0,0,0,0,0,1000,,,0
3.5,300,0,0,0,0,0,1000,,,0
3.5,350,0,0,0,0,0,1000,,,0
3.5,400,0,0,0,0,0,1000,,,0
3.6,50,62,43,19,2,142,4655,,,0
3.6,100,36,25,11,4,32,1579,,,0
3.6,150,9,8,1,1,333,2998,,,0
3.6,200,3,3,0,0,1000,2720,,,0
3.6,250,0,0,0,0,0,1000,,,0
3.6,300,0,0,0,0,0,1000,,,0
3.6,350,0,0,0,0,0,1000,,,0
3.6,400,0,0,0,0,0,1000,,,0
3.7,50,62,43,19,2,142,4655,,,0
3.7,100,36,25,11,4,32,1579,,,0
3.7,150,9,8,1,1,333,2998,,,0
3.7,200,3,3,0,0,1000,2720,,,0
3.7,250,0,0,0,0,0,1000,,,0
3.7,300,0,0,0,0,0,1000,,,0
3.7,350,0,0,0,0,0,1000,,,0
3.7,400,0,0,0,0,0,1000,,,0
3.8,50,62,43,19,2,142,4655,,,0
3.8,100,36,25,11,4,32,1579,,,0
3.8,150,9,8,1,1,333,2998,,,0
3.8,200,3,3,0,0,1000,2720,,,0
3.8,250,0,0,0,0,0,1000,,,0
3.8,300,0,0,0,0,0,1000,,,0
3.8,350,0,0,0,0,0,1000,,,0
3.8,400,0,0,0,0,0,1000,,,0
3.9,50,62,43,19,2,142,4655,,,0
3.9,100,36,25,11,4,32,1579,,,0
3.9,150,9,8,1,1,333,2998,,,0
3.9,200,3,3,0,0,1000,2720,,,0
3.9,250,0,0,0,0,0,1000,,,0
3.9,300,0,0,0,0,0,1000,,,0
3.9,350,0,0,0,0,0,1000,,,0
3.9,400,0,0,0,0,0,1000,,,0
4.0,50,62,43,19,2,142,4655,,,0
4.0,100,36,25,11,4,32,1579,,,0
4.0,150,9,8,1,1,333,2998,,,0
4.0,200,3,3,0,0,1000,2720,,,0
4.0,250,0,0,0,0,0,1000,,,0
4.0,300,0,0,0,0,0,1000,,,0
4.0,350,0,0,0,0,0,1000,,,0
4.0,400,0,0,0,0,0,1000,,,0
